INFO:root:-----------------------------------Start of the new Session at Mon Oct  8 14:28:35 2018-------------------------------
INFO:root:No of blocks in node 1002 is 8
DEBUG:root:113, 1002, broadcasting, data, 99909
DEBUG:root:113,1002, received, block, 99909
DEBUG:root:113,1002, interrupted, block, 99909 
INFO:root:No of blocks in node 1002 is 9
DEBUG:root:119, 1003,Appended, Transaction, 2313
DEBUG:root:119, 1003, broadcasting, data, 2313
DEBUG:root:119,1000,received,transaction,2313 
DEBUG:root:119, 1000, broadcasting, data, 2313
DEBUG:root:119,1001,received,transaction,2313 
DEBUG:root:119, 1001, broadcasting, data, 2313
DEBUG:root:121,1002,received,transaction,2313 
DEBUG:root:121, 1002, broadcasting, data, 2313
DEBUG:root:128, 1003,Appended, Transaction, 2314
DEBUG:root:128, 1003, broadcasting, data, 2314
DEBUG:root:128,1000,received,transaction,2314 
DEBUG:root:128, 1000, broadcasting, data, 2314
DEBUG:root:128,1001,received,transaction,2314 
DEBUG:root:128, 1001, broadcasting, data, 2314
DEBUG:root:130,1002,received,transaction,2314 
DEBUG:root:130, 1002, broadcasting, data, 2314
DEBUG:root:139, 1002,Appended, Transaction, 2315
DEBUG:root:139, 1002, broadcasting, data, 2315
DEBUG:root:141,1003,received,transaction,2315 
DEBUG:root:141, 1003, broadcasting, data, 2315
DEBUG:root:141,1000,received,transaction,2315 
DEBUG:root:141, 1000, broadcasting, data, 2315
DEBUG:root:141,1001,received,transaction,2315 
DEBUG:root:141, 1001, broadcasting, data, 2315
INFO:root:Simulation ended
INFO:root:-----------------------------------Start of the new Session at Mon Oct  8 15:14:31 2018-------------------------------
DEBUG:root:0,1000, generated, node, -
DEBUG:root:0,1002, generated, node, -
DEBUG:root:0,1003, generated, node, -
DEBUG:root:0,1001, generated, node, -
DEBUG:root:0, 1000,Appended, Transaction, 2301
DEBUG:root:0, 1000, broadcasting, data, 2301
DEBUG:root:1,1002,received,transaction,2301 
DEBUG:root:1, 1002, broadcasting, data, 2301
DEBUG:root:4,1001,received,transaction,2301 
DEBUG:root:4, 1001, broadcasting, data, 2301
DEBUG:root:4,1003,received,transaction,2301 
DEBUG:root:4, 1003, broadcasting, data, 2301
DEBUG:root:8, 1002,Appended, Transaction, 2302
DEBUG:root:8, 1002, broadcasting, data, 2302
DEBUG:root:9,1000,received,transaction,2302 
DEBUG:root:9, 1000, broadcasting, data, 2302
DEBUG:root:11,1003,received,transaction,2302 
DEBUG:root:11, 1003, broadcasting, data, 2302
DEBUG:root:11,1001,received,transaction,2302 
DEBUG:root:11, 1001, broadcasting, data, 2302
DEBUG:root:18, 1002,Appended, Transaction, 2303
DEBUG:root:18, 1002, broadcasting, data, 2303
DEBUG:root:19,1000,received,transaction,2303 
DEBUG:root:19, 1000, broadcasting, data, 2303
DEBUG:root:21,1003,received,transaction,2303 
DEBUG:root:21, 1003, broadcasting, data, 2303
DEBUG:root:21,1001,received,transaction,2303 
DEBUG:root:21, 1001, broadcasting, data, 2303
DEBUG:root:28, 1000,Appended, Transaction, 2304
DEBUG:root:28, 1000, broadcasting, data, 2304
DEBUG:root:29, 1000, Created, block, 99901
INFO:root:-----------------------------------Start of the new Session at Mon Oct  8 15:16:22 2018-------------------------------
DEBUG:root:0,1001, generated, node, -
DEBUG:root:0,1000, generated, node, -
DEBUG:root:0,1002, generated, node, -
DEBUG:root:0,1003, generated, node, -
DEBUG:root:0, 1000,Appended, Transaction, 2301
DEBUG:root:0, 1000, broadcasting, data, 2301
DEBUG:root:1,1003,received,transaction,2301 
DEBUG:root:1, 1003, broadcasting, data, 2301
DEBUG:root:2,1002,received,transaction,2301 
DEBUG:root:2, 1002, broadcasting, data, 2301
DEBUG:root:2,1001,received,transaction,2301 
DEBUG:root:2, 1001, broadcasting, data, 2301
DEBUG:root:9, 1002,Appended, Transaction, 2302
DEBUG:root:9, 1002, broadcasting, data, 2302
DEBUG:root:9,1001,received,transaction,2302 
DEBUG:root:9, 1001, broadcasting, data, 2302
DEBUG:root:10,1003,received,transaction,2302 
DEBUG:root:10, 1003, broadcasting, data, 2302
DEBUG:root:11,1000,received,transaction,2302 
DEBUG:root:11, 1000, broadcasting, data, 2302
DEBUG:root:19, 1002,Appended, Transaction, 2303
DEBUG:root:19, 1002, broadcasting, data, 2303
DEBUG:root:19,1001,received,transaction,2303 
DEBUG:root:19, 1001, broadcasting, data, 2303
DEBUG:root:20,1003,received,transaction,2303 
DEBUG:root:20, 1003, broadcasting, data, 2303
DEBUG:root:21,1000,received,transaction,2303 
DEBUG:root:21, 1000, broadcasting, data, 2303
DEBUG:root:29, 1001,Appended, Transaction, 2304
DEBUG:root:29, 1001, broadcasting, data, 2304
DEBUG:root:29,1002,received,transaction,2304 
DEBUG:root:29, 1002, broadcasting, data, 2304
DEBUG:root:30, 1001, Created, block, 99901
DEBUG:root:30, 1002, Created, block, 99902
INFO:root:-----------------------------------Start of the new Session at Mon Oct  8 15:17:39 2018-------------------------------
DEBUG:root:0,1001, generated, node, -
DEBUG:root:0,1003, generated, node, -
DEBUG:root:0,1000, generated, node, -
DEBUG:root:0,1002, generated, node, -
DEBUG:root:0, 1003,Appended, Transaction, 2301
DEBUG:root:0, 1003, broadcasting, data, 2301
