0,1004, generated, node, -
32, 1004, broadcasting, data, 2333
32,1001,received,transaction,2331 
32, 1001, broadcasting, data, 2331
33,1002,received,transaction,2328 
33, 1002, broadcasting, data, 2328
33,1001,received,transaction,2332 
33, 1001, broadcasting, data, 2332
33,1000,received,transaction,2330 
33, 1000, broadcasting, data, 2330
33,1001,received,transaction,2330 
33, 1001, broadcasting, data, 2330
33,1003,received,transaction,2333 
33, 1003, broadcasting, data, 2333
33,1001,received,transaction,2333 
33, 1001, broadcasting, data, 2333
33, 1003,Appended, Transaction, 2334
33, 1003, broadcasting, data, 2334
33,1000,received,transaction,2331 
33, 1000, broadcasting, data, 2331
34,1002,received,transaction,2329 
34, 1002, broadcasting, data, 2329
34,1000,received,transaction,2332 
34, 1000, broadcasting, data, 2332
34,1004,received,transaction,2330 
34, 1004, broadcasting, data, 2330
34, 1000,Appended, Transaction, 2335
34, 1000, broadcasting, data, 2335
34,1004,received,transaction,2334 
34, 1004, broadcasting, data, 2334
35,1003,received,transaction,2330 
35, 1003, broadcasting, data, 2330
35, 1003,Appended, Transaction, 2336
35, 1003, broadcasting, data, 2336
35,1000,received,transaction,2333 
35, 1000, broadcasting, data, 2333
35,1001,received,transaction,2334 
35, 1001, broadcasting, data, 2334
36, 1002,Appended, Transaction, 2337
36, 1002, broadcasting, data, 2337
36,1004,received,transaction,2336 
36, 1004, broadcasting, data, 2336
36,1001,received,transaction,2335 
36, 1001, broadcasting, data, 2335
36,1000,received,transaction,2334 
36, 1000, broadcasting, data, 2334
36,1002,received,transaction,2331 
36, 1002, broadcasting, data, 2331
37,1002,received,transaction,2332 
37, 1002, broadcasting, data, 2332
37, 1002,Appended, Transaction, 2338
37, 1002, broadcasting, data, 2338
37,1001,received,transaction,2336 
37, 1001, broadcasting, data, 2336
37,1002,received,transaction,2333 
37, 1002, broadcasting, data, 2333
37,1003,received,transaction,2335 
37, 1003, broadcasting, data, 2335
37,1004,received,transaction,2335 
37, 1004, broadcasting, data, 2335
38, 1000,Appended, Transaction, 2339
38, 1000, broadcasting, data, 2339
38,1000,received,transaction,2336 
38, 1000, broadcasting, data, 2336
38,1002,received,transaction,2335 
38, 1002, broadcasting, data, 2335
39, 1004,Appended, Transaction, 2340
39, 1004, broadcasting, data, 2340
39,1002,received,transaction,2334 
39, 1002, broadcasting, data, 2334
40,1003,received,transaction,2340 
40, 1003, broadcasting, data, 2340
40,1001,received,transaction,2340 
40, 1001, broadcasting, data, 2340
40, 1002,Appended, Transaction, 2341
40, 1002, broadcasting, data, 2341
40,1001,received,transaction,2339 
40, 1001, broadcasting, data, 2339
40,1000,received,transaction,2337 
40, 1000, broadcasting, data, 2337
40,1001,received,transaction,2337 
40, 1001, broadcasting, data, 2337
41,1003,received,transaction,2339 
41, 1003, broadcasting, data, 2339
41,1004,received,transaction,2339 
41, 1004, broadcasting, data, 2339
41,1004,received,transaction,2337 
41, 1004, broadcasting, data, 2337
41, 1001,Appended, Transaction, 2342
41, 1001, broadcasting, data, 2342
41,1000,received,transaction,2338 
41, 1000, broadcasting, data, 2338
41,1001,received,transaction,2338 
41, 1001, broadcasting, data, 2338
41,1002,received,transaction,2336 
41, 1002, broadcasting, data, 2336
42,1000,received,transaction,2340 
42, 1000, broadcasting, data, 2340
42, 1003,Appended, Transaction, 2343
42, 1003, broadcasting, data, 2343
42,1002,received,transaction,2339 
42, 1002, broadcasting, data, 2339
42,1003,received,transaction,2337 
42, 1003, broadcasting, data, 2337
42,1004,received,transaction,2342 
42, 1004, broadcasting, data, 2342
42,1004,received,transaction,2338 
42, 1004, broadcasting, data, 2338
43, 1001,Appended, Transaction, 2344
43, 1001, broadcasting, data, 2344
43,1004,received,transaction,2343 
43, 1004, broadcasting, data, 2343
43,1000,received,transaction,2342 
43, 1000, broadcasting, data, 2342
43,1003,received,transaction,2342 
43, 1003, broadcasting, data, 2342
43,1003,received,transaction,2338 
43, 1003, broadcasting, data, 2338
43, 1002,Appended, Transaction, 2345
43, 1002, broadcasting, data, 2345
44,1002,received,transaction,2340 
44, 1002, broadcasting, data, 2340
44,1004,received,transaction,2344 
44, 1004, broadcasting, data, 2344
44,1001,received,transaction,2343 
44, 1001, broadcasting, data, 2343
44,1000,received,transaction,2341 
44, 1000, broadcasting, data, 2341
44,1001,received,transaction,2341 
44, 1001, broadcasting, data, 2341
44, 1001,Appended, Transaction, 2346
44, 1001, broadcasting, data, 2346
45, 1001, Created, block, 99902
No of blocks in node 1001 is 2
45, 1001, broadcasting, data, 99902
45,1000,received,transaction,2344 
45, 1000, broadcasting, data, 2344
45,1003,received,transaction,2344 
45, 1003, broadcasting, data, 2344
45,1000,received,transaction,2343 
45, 1000, broadcasting, data, 2343
45,1004,received,transaction,2341 
45, 1004, broadcasting, data, 2341
45,1002,received,transaction,2342 
45, 1002, broadcasting, data, 2342
45,1004,received,transaction,2346 
45, 1004, broadcasting, data, 2346
45, 1002,Appended, Transaction, 2347
45, 1002, broadcasting, data, 2347
46, 1004, broadcasting, data, 99902
46,1004, received, block, 99902
46,1004, interrupted, block, 99902 
No of blocks in node 1004 is 2
46,1003,received,transaction,2341 
46, 1003, broadcasting, data, 2341
46,1000,received,transaction,2346 
46, 1000, broadcasting, data, 2346
46,1003,received,transaction,2346 
46, 1003, broadcasting, data, 2346
47, 1000, broadcasting, data, 99902
47,1000, received, block, 99902
47,1000, interrupted, block, 99902 
No of blocks in node 1000 is 2
47, 1003, broadcasting, data, 99902
47,1003, received, block, 99902
47,1003, interrupted, block, 99902 
47, 1000,Appended, Transaction, 2348
47, 1000, broadcasting, data, 2348
47,1002,received,transaction,2344 
47, 1002, broadcasting, data, 2344
47,1000,received,transaction,2345 
47, 1000, broadcasting, data, 2345
47,1001,received,transaction,2345 
47, 1001, broadcasting, data, 2345
48,1002,received,transaction,2343 
48, 1002, broadcasting, data, 2343
48, 1000,Appended, Transaction, 2349
48, 1000, broadcasting, data, 2349
48,1002,received,transaction,2346 
48, 1002, broadcasting, data, 2346
48,1004,received,transaction,2345 
48, 1004, broadcasting, data, 2345
49, 1002, broadcasting, data, 99902
49,1002, received, block, 99902
49,1002, interrupted, block, 99902 
49,1001,received,transaction,2348 
49, 1001, broadcasting, data, 2348
49, 1002,Appended, Transaction, 2350
49, 1002, broadcasting, data, 2350
49,1003,received,transaction,2345 
49, 1003, broadcasting, data, 2345
49,1000,received,transaction,2347 
49, 1000, broadcasting, data, 2347
49,1001,received,transaction,2347 
49, 1001, broadcasting, data, 2347
Simulation ended
